order_id,Periode,Kategori_Utama,Provinsi,Kota/Kabupaten,Metode Pembayaran,Opsi Pengiriman,Total Pembayaran,Estimasi Potongan Biaya Pengiriman,Estimasi_Biaya_Komisi_Rp,Estimasi_Biaya_Proses_Pesanan_Rp
ORD_0000888,2025-04,Keranjang,DKI JAKARTA,KOTA JAKARTA UTARA,Kartu Kredit/Debit,Reguler (Cashless)-SPX Standard,19000,10000,1900,1255
ORD_0000889,2025-04,Celengan,JAWA BARAT,KAB. BEKASI,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,22840,8000,2284,1255
ORD_0000890,2025-04,Celengan,DKI JAKARTA,KOTA JAKARTA TIMUR,Online Payment,Reguler (Cashless)-SPX Standard,23000,10000,2300,1255
ORD_0000891,2025-04,Mangkok Sambal / Saus,SUMATERA UTARA,KOTA MEDAN,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17120,23000,1712,1255
ORD_0000892,2025-04,Celengan,JAWA BARAT,KAB. BOGOR,Online Payment,Hemat Kargo-SPX Hemat,36900,8000,3690,1255
ORD_0000893,2025-04,Mangkok Sambal / Saus,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,57160,20000,5716,1255
ORD_0000894,2025-04,Celengan,JAWA BARAT,KAB. SUKABUMI,Online Payment,Hemat Kargo-SPX Hemat,19000,12000,1900,1255
ORD_0000895,2025-04,Aksesoris Pintu,DKI JAKARTA,KOTA JAKARTA SELATAN,Online Payment,Hemat Kargo-SPX Hemat,13500,5000,1350,1255
ORD_0000896,2025-04,Seal / Baut / Roof,JAWA TENGAH,KAB. PATI,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,143688,17000,14369,1255
ORD_0000897,2025-04,Aksesoris Pintu,BANTEN,KAB. TANGERANG,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,14000,5000,1400,1255
ORD_0000898,2025-04,Mangkok Sambal / Saus,LAMPUNG,KAB. LAMPUNG TIMUR,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,49880,39000,4988,1255
ORD_0000899,2025-04,Botol / Gelas / Mug,BANTEN,KOTA TANGERANG SELATAN,SPayLater,Reguler (Cashless)-SPX Standard,44503,10000,4450,1255
ORD_0000900,2025-04,Mangkok Sambal / Saus,JAWA TIMUR,KAB. BONDOWOSO,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,17640,15000,1764,1255
ORD_0000901,2025-04,Stempel / Alat Kantor,JAWA BARAT,KAB. SUKABUMI,Online Payment,Hemat Kargo-SPX Hemat,0,0,0,1255
ORD_0000902,2025-04,Celengan,JAWA BARAT,KAB. BOGOR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,8000,1858,1255
ORD_0000903,2025-04,Celengan,JAWA BARAT,KAB. BANDUNG BARAT,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,18576,12500,1858,1255
ORD_0000904,2025-04,Mangkok Sambal / Saus,JAWA TENGAH,KAB. JEPARA,COD (Bayar di Tempat),Reguler (Cashless)-SPX Standard,49360,17000,4936,1255
ORD_0000905,2025-04,Celengan,JAWA BARAT,KOTA BANDUNG,Online Payment,Reguler (Cashless)-SPX Standard,17790,13000,1779,1255
ORD_0000908,2025-04,Aksesoris Pintu,JAWA BARAT,KAB. BEKASI,Saldo ShopeePay,Hemat Kargo-SPX Hemat,35682,8000,3568,1255
ORD_0000910,2025-04,Keranjang,DKI JAKARTA,KOTA JAKARTA SELATAN,Online Payment,Reguler (Cashless)-SPX Standard,14000,10000,1400,1255
ORD_0000911,2025-04,Mangkok Sambal / Saus,BANTEN,KOTA TANGERANG SELATAN,Saldo ShopeePay,Reguler (Cashless)-SPX Standard,14653,9500,1465,1255
ORD_0000912,2025-04,Tempat Nasi,JAWA BARAT,KAB. BOGOR,COD (Bayar di Tempat),Hemat Kargo-SPX Hemat,30120,0,3012,1255
ORD_0000913,2025-04,Celengan,JAWA BARAT,KAB. BOGOR,Saldo ShopeePay,Hemat Kargo-SPX Hemat,18800,8000,1880,1255
